"","School List","FT Male","FT Female","FT AGI","FT BIPOC","FT Total","FT White","Year","State"
"1","AKRON, UNIVERSITY OF",46,26,0,8,72,64,2017,"OHIO"
"2","ALABAMA, UNIVERSITY OF",74,29,0,11,103,92,2017,"ALABAMA"
"3","ALBANY LAW SCHOOL",49,35,0,8,84,76,2017,"NEW YORK"
"4","AMERICAN UNIVERSITY",225,165,0,74,390,316,2017,"DISTRICT OF COLUMBIA"
"5","APPALACHIAN SCHOOL OF LAW",13,7,0,1,20,19,2017,"VIRGINIA"
"6","ARIZONA STATE UNIVERSITY",125,59,0,25,184,159,2017,"ARIZONA"
"7","ARIZONA, UNIVERSITY OF",93,74,0,23,167,144,2017,"ARIZONA"
"8","ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",45,40,0,12,85,73,2017,"ARKANSAS"
"9","ARKANSAS, LITTLE ROCK, UNIVERSITY OF",53,46,0,17,99,82,2017,"ARKANSAS"
"10","ATLANTA'S JOHN MARSHALL LAW SCHOOL",44,47,0,22,91,69,2017,"GEORGIA"
"11","AVE MARIA SCHOOL OF LAW",31,15,0,3,46,43,2017,"FLORIDA"
"12","BALTIMORE, UNIVERSITY OF",88,72,0,24,160,136,2017,"MARYLAND"
"13","BARRY UNIVERSITY",52,34,0,23,86,63,2017,"FLORIDA"
"14","BAYLOR UNIVERSITY",61,21,0,6,82,76,2017,"TEXAS"
"15","BELMONT UNIVERSITY",27,16,0,7,43,36,2017,"TENNESSEE"
"16","BOSTON COLLEGE",81,57,0,23,138,115,2017,"MASSACHUSETTS"
"17","BOSTON UNIVERSITY",164,84,0,23,248,225,2017,"MASSACHUSETTS"
"18","BRIGHAM YOUNG UNIVERSITY",75,27,0,6,102,96,2017,"UTAH"
"19","BROOKLYN LAW SCHOOL",141,93,0,29,234,205,2017,"NEW YORK"
"20","CALIFORNIA WESTERN SCHOOL OF LAW",68,53,0,19,121,102,2017,"CALIFORNIA"
"21","CALIFORNIA-BERKELEY, UNIVERSITY OF",177,129,0,60,306,246,2017,"CALIFORNIA"
"22","CALIFORNIA-DAVIS, UNIVERSITY OF",64,47,0,39,111,72,2017,"CALIFORNIA"
"23","CALIFORNIA-IRVINE, UNIVERSITY OF",67,50,0,27,117,90,2017,"CALIFORNIA"
"24","CALIFORNIA-LOS ANGELES, UNIVERSITY OF",115,89,0,42,204,162,2017,"CALIFORNIA"
"25","CAMPBELL UNIVERSITY",52,32,0,10,84,74,2017,"NORTH CAROLINA"
"26","CAPITAL UNIVERSITY",55,22,0,7,77,70,2017,"OHIO"
"27","CARDOZO SCHOOL OF LAW",134,92,0,19,226,207,2017,"NEW YORK"
"28","CASE WESTERN RESERVE UNIVERSITY",68,28,0,5,96,91,2017,"OHIO"
"29","CATHOLIC UNIVERSITY OF AMERICA",75,36,0,15,111,96,2017,"DISTRICT OF COLUMBIA"
"30","CHAPMAN UNIVERSITY",82,36,0,10,118,108,2017,"CALIFORNIA"
"31","CHARLESTON SCHOOL OF LAW",40,36,0,5,76,71,2017,"SOUTH CAROLINA"
"32","CHICAGO, UNIVERSITY OF",147,60,0,29,207,178,2017,"ILLINOIS"
"33","CHICAGO-KENT COLLEGE OF LAW-IIT",112,55,0,20,167,147,2017,"ILLINOIS"
"34","CINCINNATI, UNIVERSITY OF",46,29,0,9,75,66,2017,"OHIO"
"35","CITY UNIVERSITY OF NEW YORK",21,42,0,23,63,40,2017,"NEW YORK"
"36","CLEVELAND STATE UNIVERSITY",89,43,0,17,132,115,2017,"OHIO"
"37","COLORADO, UNIVERSITY OF",100,68,0,23,168,145,2017,"COLORADO"
"38","COLUMBIA UNIVERSITY",284,142,0,59,426,367,2017,"NEW YORK"
"39","CONNECTICUT, UNIVERSITY OF",109,49,0,11,159,148,2017,"CONNECTICUT"
"40","CORNELL UNIVERSITY",98,52,2,19,152,133,2017,"NEW YORK"
"41","CREIGHTON UNIVERSITY",49,16,0,7,65,58,2017,"NEBRASKA"
"42","DAYTON, UNIVERSITY OF",63,39,0,12,102,90,2017,"OHIO"
"43","DENVER, UNIVERSITY OF",218,135,0,36,354,318,2017,"COLORADO"
"44","DEPAUL UNIVERSITY",88,55,0,27,143,116,2017,"ILLINOIS"
"45","DETROIT MERCY, UNIVERSITY OF",53,38,0,13,91,78,2017,"MICHIGAN"
"46","DISTRICT OF COLUMBIA",29,33,0,28,62,34,2017,"DISTRICT OF COLUMBIA"
"47","DRAKE UNIVERSITY",37,30,0,5,67,62,2017,"IOWA"
"48","DREXEL UNIVERSITY",56,61,0,17,117,100,2017,"PENNSYLVANIA"
"49","DUKE UNIVERSITY",122,69,0,17,191,174,2017,"NORTH CAROLINA"
"50","DUQUESNE UNIVERSITY",62,36,0,7,98,91,2017,"PENNSYLVANIA"
"51","ELON UNIVERSITY",48,32,0,12,80,68,2017,"NORTH CAROLINA"
"52","EMORY UNIVERSITY",117,76,13,27,206,179,2017,"GEORGIA"
"53","FAULKNER UNIVERSITY",31,20,0,7,51,44,2017,"ALABAMA"
"54","FLORIDA A&M UNIVERSITY",30,34,0,43,64,21,2017,"FLORIDA"
"55","FLORIDA INTERNATIONAL UNIVERSITY",56,32,0,40,88,48,2017,"FLORIDA"
"56","FLORIDA STATE UNIVERSITY",88,55,0,23,143,120,2017,"FLORIDA"
"57","FLORIDA, UNIVERSITY OF",115,90,0,42,205,163,2017,"FLORIDA"
"58","FORDHAM UNIVERSITY",266,195,0,64,461,397,2017,"NEW YORK"
"59","GEORGE MASON UNIVERSITY",151,50,0,26,201,175,2017,"VIRGINIA"
"60","GEORGE WASHINGTON UNIVERSITY",564,309,0,106,873,767,2017,"DISTRICT OF COLUMBIA"
"61","GEORGETOWN UNIVERSITY",377,178,0,32,555,523,2017,"DISTRICT OF COLUMBIA"
"62","GEORGIA STATE UNIVERSITY",76,55,0,19,131,112,2017,"GEORGIA"
"63","GEORGIA, UNIVERSITY OF",67,36,0,14,103,89,2017,"GEORGIA"
"64","GOLDEN GATE UNIVERSITY",56,64,0,24,120,96,2017,"CALIFORNIA"
"65","GONZAGA UNIVERSITY",67,50,0,8,117,109,2017,"WASHINGTON"
"66","HARVARD UNIVERSITY",206,112,0,57,318,261,2017,"MASSACHUSETTS"
"67","HAWAII, UNIVERSITY OF",69,47,0,51,116,65,2017,"HAWAII"
"68","HOFSTRA UNIVERSITY",75,37,0,10,112,102,2017,"NEW YORK"
"69","HOUSTON, UNIVERSITY OF",143,82,0,38,225,187,2017,"TEXAS"
"70","HOWARD UNIVERSITY",39,37,0,62,76,14,2017,"DISTRICT OF COLUMBIA"
"71","IDAHO, UNIVERSITY OF",43,29,0,9,72,63,2017,"IDAHO"
"72","ILLINOIS, UNIVERSITY OF",77,49,0,21,126,105,2017,"ILLINOIS"
"73","INDIANA UNIVERSITY - BLOOMINGTON",74,43,0,14,117,103,2017,"INDIANA"
"74","INDIANA UNIVERSITY - INDIANAPOLIS",79,54,0,15,133,118,2017,"INDIANA"
"75","INTER AMERICAN UNIVERSITY OF PUERTO RICO",65,30,0,91,95,4,2017,"PUERTO RICO"
"76","IOWA, UNIVERSITY OF",49,29,0,7,78,71,2017,"IOWA"
"77","KANSAS, UNIVERSITY OF",48,32,0,9,80,71,2017,"KANSAS"
"78","KENTUCKY, UNIVERSITY OF",46,33,0,7,79,72,2017,"KENTUCKY"
"79","LEWIS AND CLARK COLLEGE",118,65,0,25,183,158,2017,"OREGON"
"80","LIBERTY UNIVERSITY",31,10,0,9,41,32,2017,"VIRGINIA"
"81","LINCOLN MEMORIAL",14,7,0,3,21,18,2017,"DISTRICT OF COLUMBIA"
"82","LOUISIANA STATE UNIVERSITY",68,18,0,7,86,79,2017,"LOUISIANA"
"83","LOUISVILLE, UNIVERSITY OF",38,20,0,6,58,52,2017,"KENTUCKY"
"84","LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES",112,75,0,38,187,149,2017,"CALIFORNIA"
"85","LOYOLA UNIVERSITY-CHICAGO",112,102,0,26,214,188,2017,"ILLINOIS"
"86","LOYOLA UNIVERSITY-NEW ORLEANS",49,39,0,15,88,73,2017,"LOUISIANA"
"87","MAINE, UNIVERSITY OF",42,33,0,7,75,68,2017,"MAINE"
"88","MARQUETTE UNIVERSITY",77,56,0,7,133,126,2017,"WISCONSIN"
"89","MARYLAND, UNIVERSITY OF",132,92,0,31,224,193,2017,"MARYLAND"
"90","MCGEORGE SCHOOL OF LAW",75,39,0,16,114,98,2017,"CALIFORNIA"
"91","MEMPHIS, UNIVERSITY OF",44,25,0,12,69,57,2017,"TENNESSEE"
"92","MERCER UNIVERSITY",50,20,0,5,70,65,2017,"GEORGIA"
"93","MIAMI, UNIVERSITY OF",132,72,0,45,204,159,2017,"FLORIDA"
"94","MICHIGAN STATE UNIVERSITY",83,49,0,15,132,117,2017,"MICHIGAN"
"95","MICHIGAN, UNIVERSITY OF",113,56,0,19,169,150,2017,"MICHIGAN"
"96","MINNESOTA, UNIVERSITY OF",138,74,0,15,212,197,2017,"MINNESOTA"
"97","MISSISSIPPI COLLEGE",56,32,0,11,88,77,2017,"MISSISSIPPI"
"98","MISSISSIPPI, UNIVERSITY OF",41,29,0,6,70,64,2017,"MISSISSIPPI"
"99","MISSOURI, UNIVERSITY OF",41,22,0,4,63,59,2017,"MISSOURI"
"100","MISSOURI-KANSAS CITY, UNIVERSITY OF",109,65,0,10,174,164,2017,"MISSOURI"
"101","MITCHELL | HAMLINE",114,115,0,18,229,211,2017,NA
"102","MONTANA, UNIVERSITY OF",27,25,0,8,52,44,2017,"MONTANA"
"103","NEBRASKA, UNIVERSITY OF",51,24,0,4,75,71,2017,"NEBRASKA"
"104","NEW ENGLAND LAW | BOSTON",71,50,0,8,121,113,2017,"MASSACHUSETTS"
"105","NEW HAMPSHIRE, UNIVERSITY OF",51,37,0,3,88,85,2017,"NEW HAMPSHIRE"
"106","NEW MEXICO, UNIVERSITY OF",55,49,0,35,104,69,2017,"NEW MEXICO"
"107","NEW YORK LAW SCHOOL",105,62,0,20,167,147,2017,"NEW YORK"
"108","NEW YORK UNIVERSITY",273,118,0,53,391,338,2017,"NEW YORK"
"109","NORTH CAROLINA CENTRAL UNIVERSITY",29,50,0,50,79,29,2017,"NORTH CAROLINA"
"110","NORTH CAROLINA, UNIVERSITY OF",79,67,0,21,146,125,2017,"NORTH CAROLINA"
"111","NORTH DAKOTA, UNIVERSITY OF",16,18,0,2,34,32,2017,"NORTH DAKOTA"
"112","NORTHEASTERN UNIVERSITY SCHOOL OF LAW",46,52,1,18,99,81,2017,NA
"113","NORTHERN ILLINOIS UNIVERSITY",27,19,0,8,46,38,2017,"ILLINOIS"
"114","NORTHERN KENTUCKY UNIVERSITY",47,23,0,8,70,62,2017,"KENTUCKY"
"115","NORTHWESTERN UNIVERSITY",234,118,0,36,352,316,2017,"ILLINOIS"
"116","NOTRE DAME, UNIVERSITY OF",100,53,0,12,153,141,2017,"INDIANA"
"117","NOVA SOUTHEASTERN UNIVERSITY",53,45,0,21,98,77,2017,"FLORIDA"
"118","OHIO NORTHERN UNIVERSITY",23,15,0,5,38,33,2017,"OHIO"
"119","OHIO STATE UNIVERSITY",75,38,0,14,113,99,2017,"OHIO"
"120","OKLAHOMA CITY UNIVERSITY",72,33,0,16,105,89,2017,"OKLAHOMA"
"121","OKLAHOMA, UNIVERSITY OF",52,28,0,11,80,69,2017,"OKLAHOMA"
"122","OREGON, UNIVERSITY OF",45,43,0,11,88,77,2017,"OREGON"
"123","PACE UNIVERSITY",81,46,0,16,127,111,2017,"NEW YORK"
"124","PENNSYLVANIA STATE - DICKINSON LAW",24,22,0,6,46,40,2017,"PENNSYLVANIA"
"125","PENNSYLVANIA STATE - PENN STATE LAW",36,21,0,8,57,49,2017,"PENNSYLVANIA"
"126","PENNSYLVANIA, UNIVERSITY OF",158,88,0,46,246,200,2017,"PENNSYLVANIA"
"127","PEPPERDINE UNIVERSITY",92,40,0,17,132,115,2017,"CALIFORNIA"
"128","PITTSBURGH, UNIVERSITY OF",124,66,0,16,190,174,2017,"PENNSYLVANIA"
"129","PONTIFICAL CATHOLIC UNIVERSITY OF P.R.",51,19,0,69,70,1,2017,"PUERTO RICO"
"130","PUERTO RICO, UNIVERSITY OF",71,59,1,127,131,4,2017,"PUERTO RICO"
"131","QUINNIPIAC UNIVERSITY",56,39,0,7,95,88,2017,"CONNECTICUT"
"132","REGENT UNIVERSITY",38,15,0,4,53,49,2017,"VIRGINIA"
"133","RICHMOND, UNIVERSITY OF",85,68,0,13,153,140,2017,"VIRGINIA"
"134","ROGER WILLIAMS UNIVERSITY",48,43,0,9,91,82,2017,"RHODE ISLAND"
"135","RUTGERS UNIVERSITY",193,115,0,54,308,254,2017,"NEW JERSEY"
"136","SAINT LOUIS UNIVERSITY",106,81,0,16,187,171,2017,"MISSOURI"
"137","SAMFORD UNIVERSITY",45,25,0,10,70,60,2017,"ALABAMA"
"138","SAN DIEGO, UNIVERSITY OF",107,53,0,17,160,143,2017,"CALIFORNIA"
"139","SAN FRANCISCO, UNIVERSITY OF",60,44,0,28,104,76,2017,"CALIFORNIA"
"140","SANTA CLARA UNIVERSITY",85,69,14,26,168,142,2017,"CALIFORNIA"
"141","SEATTLE UNIVERSITY",116,97,0,40,213,173,2017,"WASHINGTON"
"142","SETON HALL UNIVERSITY",65,49,0,11,114,103,2017,"NEW JERSEY"
"143","SOUTH CAROLINA, UNIVERSITY OF",64,45,0,10,109,99,2017,"SOUTH CAROLINA"
"144","SOUTH DAKOTA, UNIVERSITY OF",23,9,0,3,32,29,2017,"SOUTH DAKOTA"
"145","SOUTH TEXAS COLLEGE OF LAW HOUSTON",68,34,0,17,102,85,2017,"TEXAS"
"146","SOUTHERN CALIFORNIA, UNIVERSITY OF",124,63,0,27,187,160,2017,"CALIFORNIA"
"147","SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE",23,31,0,5,54,49,2017,"ILLINOIS"
"148","SOUTHERN METHODIST UNIVERSITY",141,61,1,17,203,186,2017,"TEXAS"
"149","SOUTHERN UNIVERSITY",41,37,0,57,78,21,2017,"LOUISIANA"
"150","SOUTHWESTERN LAW SCHOOL",84,63,0,39,147,108,2017,"CALIFORNIA"
"151","ST. JOHN'S UNIVERSITY",85,51,0,18,136,118,2017,"NEW YORK"
"152","ST. MARY'S UNIVERSITY",80,44,0,25,124,99,2017,"TEXAS"
"153","ST. THOMAS UNIVERSITY (FLORIDA)",68,40,0,32,108,76,2017,"FLORIDA"
"154","ST. THOMAS, UNIVERSITY OF (MINNESOTA)",79,40,0,15,119,104,2017,"MINNESOTA"
"155","STANFORD UNIVERSITY",130,88,0,42,218,176,2017,"CALIFORNIA"
"156","STETSON UNIVERSITY",91,64,0,20,155,135,2017,"FLORIDA"
"157","SUFFOLK UNIVERSITY",98,73,0,20,171,151,2017,"MASSACHUSETTS"
"158","SYRACUSE UNIVERSITY",56,40,0,12,96,84,2017,"NEW YORK"
"159","TEMPLE UNIVERSITY",117,84,1,37,202,165,2017,"PENNSYLVANIA"
"160","TENNESSEE, UNIVERSITY OF",75,55,0,10,130,120,2017,"TENNESSEE"
"161","TEXAS A&M UNIVERSITY",73,45,0,20,118,98,2017,"TEXAS"
"162","TEXAS AT AUSTIN, UNIVERSITY OF",175,84,0,26,259,233,2017,"TEXAS"
"163","TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW",29,33,0,50,62,12,2017,NA
"164","TEXAS TECH UNIVERSITY",44,28,0,12,72,60,2017,"TEXAS"
"165","TOLEDO, UNIVERSITY OF",39,22,0,7,61,54,2017,"OHIO"
"166","TOURO UNIVERSITY",56,44,0,8,100,92,2017,"NEW YORK"
"167","TULANE UNIVERSITY",93,42,0,8,135,127,2017,"LOUISIANA"
"168","TULSA, UNIVERSITY OF",23,28,0,5,51,46,2017,"OKLAHOMA"
"169","UNIVERSITY OF BUFFALO-SUNY",83,55,0,8,138,130,2017,"NEW YORK"
"170","UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",134,99,0,43,233,190,2017,"CALIFORNIA"
"171","UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW",160,89,0,32,249,217,2017,"ILLINOIS"
"172","UNIVERSITY OF MASSACHUSETTS DARTMOUTH",24,17,0,5,41,36,2017,"MASSACHUSETTS"
"173","UNIVERSITY OF NEVADA - LAS VEGAS",53,43,0,19,96,77,2017,"NEVADA"
"174","UTAH, UNIVERSITY OF",51,34,0,9,85,76,2017,"UTAH"
"175","VANDERBILT UNIVERSITY",91,51,0,16,143,127,2017,"TENNESSEE"
"176","VERMONT LAW SCHOOL",85,64,0,10,149,139,2017,"VERMONT"
"177","VILLANOVA UNIVERSITY",68,45,0,11,113,102,2017,"PENNSYLVANIA"
"178","VIRGINIA, UNIVERSITY OF",182,64,0,18,246,228,2017,"VIRGINIA"
"179","WAKE FOREST UNIVERSITY",79,41,0,13,120,107,2017,"NORTH CAROLINA"
"180","WASHBURN UNIVERSITY",40,31,0,5,71,66,2017,"KANSAS"
"181","WASHINGTON AND LEE UNIVERSITY",73,27,0,10,100,90,2017,"VIRGINIA"
"182","WASHINGTON UNIVERSITY",124,75,0,20,199,179,2017,"MISSOURI"
"183","WASHINGTON, UNIVERSITY OF",117,72,0,23,189,166,2017,"WASHINGTON"
"184","WAYNE STATE UNIVERSITY",54,33,0,9,87,78,2017,"MICHIGAN"
"185","WEST VIRGINIA UNIVERSITY",41,23,0,5,64,59,2017,"WEST VIRGINIA"
"186","COOLEY LAW SCHOOL",156,79,0,30,235,205,2017,NA
"187","WESTERN NEW ENGLAND UNIVERSITY",37,28,0,7,65,58,2017,"MASSACHUSETTS"
"188","WESTERN STATE COLLEGE OF LAW",31,21,0,15,52,37,2017,"CALIFORNIA"
"189","WIDENER UNIVERSITY-DELAWARE",42,28,0,7,70,63,2017,"DELAWARE"
"190","WIDENER-COMMONWEALTH",32,16,0,3,48,45,2017,"PENNSYLVANIA"
"191","WILLAMETTE UNIVERSITY",36,21,0,5,57,52,2017,"OREGON"
"192","WILLIAM AND MARY LAW SCHOOL",110,58,0,13,168,155,2017,"VIRGINIA"
"193","WISCONSIN, UNIVERSITY OF",72,62,0,21,134,113,2017,"WISCONSIN"
"194","WYOMING, UNIVERSITY OF",20,16,0,6,36,30,2017,"WYOMING"
"195","YALE UNIVERSITY",178,81,0,31,259,228,2017,"CONNECTICUT"
"196","AKRON, UNIVERSITY OF",45,28,0,8,73,65,2018,"OHIO"
"197","ALABAMA, UNIVERSITY OF",70,33,0,12,103,91,2018,"ALABAMA"
"198","ALBANY LAW SCHOOL",42,31,0,9,73,64,2018,"NEW YORK"
"199","AMERICAN UNIVERSITY",221,145,0,74,366,292,2018,"DISTRICT OF COLUMBIA"
"200","APPALACHIAN SCHOOL OF LAW",15,6,0,2,21,19,2018,"VIRGINIA"
"201","ARIZONA STATE UNIVERSITY",142,66,0,40,208,168,2018,"ARIZONA"
"202","ARIZONA, UNIVERSITY OF",95,60,0,25,155,130,2018,"ARIZONA"
"203","ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",46,34,0,10,80,70,2018,"ARKANSAS"
"204","ARKANSAS, LITTLE ROCK, UNIVERSITY OF",60,47,0,18,107,89,2018,"ARKANSAS"
"205","ATLANTA'S JOHN MARSHALL LAW SCHOOL",30,29,0,15,59,44,2018,"GEORGIA"
"206","AVE MARIA SCHOOL OF LAW",28,13,0,2,41,39,2018,"FLORIDA"
"207","BALTIMORE, UNIVERSITY OF",89,65,0,23,154,131,2018,"MARYLAND"
"208","BARRY UNIVERSITY",50,33,0,20,83,63,2018,"FLORIDA"
"209","BAYLOR UNIVERSITY",60,24,0,6,84,78,2018,"TEXAS"
"210","BELMONT UNIVERSITY",26,14,0,5,40,35,2018,"TENNESSEE"
"211","BOSTON COLLEGE",74,54,0,25,128,103,2018,"MASSACHUSETTS"
"212","BOSTON UNIVERSITY",127,71,0,21,198,177,2018,"MASSACHUSETTS"
"213","BRIGHAM YOUNG UNIVERSITY",63,25,0,6,88,82,2018,"UTAH"
"214","BROOKLYN LAW SCHOOL",148,82,0,23,230,207,2018,"NEW YORK"
"215","CALIFORNIA WESTERN SCHOOL OF LAW",66,53,0,17,119,102,2018,"CALIFORNIA"
"216","CALIFORNIA-BERKELEY, UNIVERSITY OF",162,113,0,50,275,225,2018,"CALIFORNIA"
"217","CALIFORNIA-DAVIS, UNIVERSITY OF",54,43,0,37,97,60,2018,"CALIFORNIA"
"218","CALIFORNIA-IRVINE, UNIVERSITY OF",61,58,0,29,119,90,2018,"CALIFORNIA"
"219","CALIFORNIA-LOS ANGELES, UNIVERSITY OF",120,101,0,43,221,178,2018,"CALIFORNIA"
"220","CAMPBELL UNIVERSITY",61,29,0,11,90,79,2018,"NORTH CAROLINA"
"221","CAPITAL UNIVERSITY",56,27,0,9,83,74,2018,"OHIO"
"222","CARDOZO SCHOOL OF LAW",155,114,0,27,269,242,2018,"NEW YORK"
"223","CASE WESTERN RESERVE UNIVERSITY",68,27,0,9,95,86,2018,"OHIO"
"224","CATHOLIC UNIVERSITY OF AMERICA",59,40,0,13,99,86,2018,"DISTRICT OF COLUMBIA"
"225","CHAPMAN UNIVERSITY",67,43,0,8,110,102,2018,"CALIFORNIA"
"226","CHARLESTON SCHOOL OF LAW",48,33,0,2,81,79,2018,"SOUTH CAROLINA"
"227","CHICAGO, UNIVERSITY OF",128,58,0,25,186,161,2018,"ILLINOIS"
"228","CHICAGO-KENT COLLEGE OF LAW-IIT",136,48,0,24,184,160,2018,"ILLINOIS"
"229","CINCINNATI, UNIVERSITY OF",39,28,19,10,86,76,2018,"OHIO"
"230","CITY UNIVERSITY OF NEW YORK",28,51,0,29,79,50,2018,"NEW YORK"
"231","CLEVELAND STATE UNIVERSITY",52,35,0,14,87,73,2018,"OHIO"
"232","COLORADO, UNIVERSITY OF",74,48,0,22,122,100,2018,"COLORADO"
"233","COLUMBIA UNIVERSITY",269,133,0,49,402,353,2018,"NEW YORK"
"234","CONNECTICUT, UNIVERSITY OF",99,58,0,18,157,139,2018,"CONNECTICUT"
"235","CORNELL UNIVERSITY",95,51,0,17,146,129,2018,"NEW YORK"
"236","CREIGHTON UNIVERSITY",43,16,0,5,59,54,2018,"NEBRASKA"
"237","DAYTON, UNIVERSITY OF",43,26,0,8,69,61,2018,"OHIO"
"238","DENVER, UNIVERSITY OF",103,66,1,23,170,147,2018,"COLORADO"
"239","DEPAUL UNIVERSITY",80,67,0,30,147,117,2018,"ILLINOIS"
"240","DETROIT MERCY, UNIVERSITY OF",54,42,0,15,96,81,2018,"MICHIGAN"
"241","DISTRICT OF COLUMBIA",29,39,0,32,68,36,2018,"DISTRICT OF COLUMBIA"
"242","DRAKE UNIVERSITY",39,31,0,5,70,65,2018,"IOWA"
"243","DREXEL UNIVERSITY",67,65,0,27,132,105,2018,"PENNSYLVANIA"
"244","DUKE UNIVERSITY",117,64,0,21,181,160,2018,"NORTH CAROLINA"
"245","DUQUESNE UNIVERSITY",64,33,0,9,97,88,2018,"PENNSYLVANIA"
"246","ELON UNIVERSITY",37,35,0,8,72,64,2018,"NORTH CAROLINA"
"247","EMORY UNIVERSITY",113,80,9,27,202,175,2018,"GEORGIA"
"248","FAULKNER UNIVERSITY",23,10,0,4,33,29,2018,"ALABAMA"
"249","FLORIDA A&M UNIVERSITY",32,40,0,49,72,23,2018,"FLORIDA"
"250","FLORIDA INTERNATIONAL UNIVERSITY",59,30,0,44,89,45,2018,"FLORIDA"
"251","FLORIDA STATE UNIVERSITY",74,41,0,16,115,99,2018,"FLORIDA"
"252","FLORIDA, UNIVERSITY OF",190,129,0,57,319,262,2018,"FLORIDA"
"253","FORDHAM UNIVERSITY",220,138,0,47,358,311,2018,"NEW YORK"
"254","GEORGE MASON UNIVERSITY",148,64,0,32,212,180,2018,"VIRGINIA"
"255","GEORGE WASHINGTON UNIVERSITY",344,147,0,68,491,423,2018,"DISTRICT OF COLUMBIA"
"256","GEORGETOWN UNIVERSITY",557,255,3,35,815,780,2018,"DISTRICT OF COLUMBIA"
"257","GEORGIA STATE UNIVERSITY",73,63,0,20,137,117,2018,"GEORGIA"
"258","GEORGIA, UNIVERSITY OF",58,43,0,16,101,85,2018,"GEORGIA"
"259","GOLDEN GATE UNIVERSITY",60,62,0,25,122,97,2018,"CALIFORNIA"
"260","GONZAGA UNIVERSITY",41,25,0,7,66,59,2018,"WASHINGTON"
"261","HARVARD UNIVERSITY",229,111,0,56,340,284,2018,"MASSACHUSETTS"
"262","HAWAII, UNIVERSITY OF",60,55,0,48,115,67,2018,"HAWAII"
"263","HOFSTRA UNIVERSITY",93,60,0,9,153,144,2018,"NEW YORK"
"264","HOUSTON, UNIVERSITY OF",161,92,0,45,253,208,2018,"TEXAS"
"265","HOWARD UNIVERSITY",41,40,0,65,81,16,2018,"DISTRICT OF COLUMBIA"
"266","IDAHO, UNIVERSITY OF",42,29,0,9,71,62,2018,"IDAHO"
"267","ILLINOIS, UNIVERSITY OF",76,57,0,20,133,113,2018,"ILLINOIS"
"268","INDIANA UNIVERSITY - BLOOMINGTON",79,43,0,14,122,108,2018,"INDIANA"
"269","INDIANA UNIVERSITY - INDIANAPOLIS",82,68,1,14,151,137,2018,"INDIANA"
"270","INTER AMERICAN UNIVERSITY OF PUERTO RICO",67,31,0,94,98,4,2018,"PUERTO RICO"
"271","IOWA, UNIVERSITY OF",49,36,0,11,85,74,2018,"IOWA"
"272","KANSAS, UNIVERSITY OF",44,30,0,7,74,67,2018,"KANSAS"
"273","KENTUCKY, UNIVERSITY OF",41,34,0,5,75,70,2018,"KENTUCKY"
"274","LEWIS AND CLARK COLLEGE",86,58,0,19,144,125,2018,"OREGON"
"275","LIBERTY UNIVERSITY",26,9,0,7,35,28,2018,"VIRGINIA"
