"","School List","FT Male","FT Female","FT AGI","FT BIPOC","FT Total","FT White","Year","State"
"276","LINCOLN MEMORIAL",19,11,0,3,30,27,2018,"DISTRICT OF COLUMBIA"
"277","LOUISIANA STATE UNIVERSITY",65,18,0,8,83,75,2018,"LOUISIANA"
"278","LOUISVILLE, UNIVERSITY OF",41,20,0,8,61,53,2018,"KENTUCKY"
"279","LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES",113,79,0,41,192,151,2018,"CALIFORNIA"
"280","LOYOLA UNIVERSITY-CHICAGO",103,100,0,24,203,179,2018,"ILLINOIS"
"281","LOYOLA UNIVERSITY-NEW ORLEANS",58,38,0,19,96,77,2018,"LOUISIANA"
"282","MAINE, UNIVERSITY OF",31,27,0,5,58,53,2018,"MAINE"
"283","MARQUETTE UNIVERSITY",75,45,0,10,120,110,2018,"WISCONSIN"
"284","MARYLAND, UNIVERSITY OF",101,70,0,24,171,147,2018,"MARYLAND"
"285","MCGEORGE SCHOOL OF LAW",69,36,0,12,105,93,2018,"CALIFORNIA"
"286","MEMPHIS, UNIVERSITY OF",40,18,0,7,58,51,2018,"TENNESSEE"
"287","MERCER UNIVERSITY",49,23,0,6,72,66,2018,"GEORGIA"
"288","MIAMI, UNIVERSITY OF",111,65,0,35,176,141,2018,"FLORIDA"
"289","MICHIGAN STATE UNIVERSITY",78,46,0,14,124,110,2018,"MICHIGAN"
"290","MICHIGAN, UNIVERSITY OF",122,76,1,21,199,178,2018,"MICHIGAN"
"291","MINNESOTA, UNIVERSITY OF",131,69,0,15,200,185,2018,"MINNESOTA"
"292","MISSISSIPPI COLLEGE",40,30,0,11,70,59,2018,"MISSISSIPPI"
"293","MISSISSIPPI, UNIVERSITY OF",41,29,0,6,70,64,2018,"MISSISSIPPI"
"294","MISSOURI, UNIVERSITY OF",33,24,0,4,57,53,2018,"MISSOURI"
"295","MISSOURI-KANSAS CITY, UNIVERSITY OF",72,44,0,8,116,108,2018,"MISSOURI"
"296","MITCHELL | HAMLINE",138,133,0,29,271,242,2018,NA
"297","MONTANA, UNIVERSITY OF",26,28,0,5,54,49,2018,"MONTANA"
"298","NEBRASKA, UNIVERSITY OF",50,23,0,4,73,69,2018,"NEBRASKA"
"299","NEW ENGLAND LAW | BOSTON",59,48,0,10,107,97,2018,"MASSACHUSETTS"
"300","NEW HAMPSHIRE, UNIVERSITY OF",41,37,0,3,78,75,2018,"NEW HAMPSHIRE"
"301","NEW MEXICO, UNIVERSITY OF",49,50,0,33,99,66,2018,"NEW MEXICO"
"302","NEW YORK LAW SCHOOL",103,77,0,21,180,159,2018,"NEW YORK"
"303","NEW YORK UNIVERSITY",310,145,0,65,455,390,2018,"NEW YORK"
"304","NORTH CAROLINA CENTRAL UNIVERSITY",32,46,0,43,78,35,2018,"NORTH CAROLINA"
"305","NORTH CAROLINA, UNIVERSITY OF",65,56,0,18,121,103,2018,"NORTH CAROLINA"
"306","NORTH DAKOTA, UNIVERSITY OF",10,14,0,1,24,23,2018,"NORTH DAKOTA"
"307","NORTHEASTERN UNIVERSITY SCHOOL OF LAW",41,54,0,15,95,80,2018,NA
"308","NORTHERN ILLINOIS UNIVERSITY",22,21,0,7,43,36,2018,"ILLINOIS"
"309","NORTHERN KENTUCKY UNIVERSITY",52,20,0,7,72,65,2018,"KENTUCKY"
"310","NORTHWESTERN UNIVERSITY",162,90,0,26,252,226,2018,"ILLINOIS"
"311","NOTRE DAME, UNIVERSITY OF",104,51,0,12,155,143,2018,"INDIANA"
"312","NOVA SOUTHEASTERN UNIVERSITY",52,43,0,23,95,72,2018,"FLORIDA"
"313","OHIO NORTHERN UNIVERSITY",17,15,0,3,32,29,2018,"OHIO"
"314","OHIO STATE UNIVERSITY",73,39,0,15,112,97,2018,"OHIO"
"315","OKLAHOMA CITY UNIVERSITY",47,24,0,9,71,62,2018,"OKLAHOMA"
"316","OKLAHOMA, UNIVERSITY OF",46,25,0,10,71,61,2018,"OKLAHOMA"
"317","OREGON, UNIVERSITY OF",51,44,0,10,95,85,2018,"OREGON"
"318","PACE UNIVERSITY",75,57,0,16,132,116,2018,"NEW YORK"
"319","PENNSYLVANIA STATE - DICKINSON LAW",25,26,0,10,51,41,2018,"PENNSYLVANIA"
"320","PENNSYLVANIA STATE - PENN STATE LAW",38,22,0,9,60,51,2018,"PENNSYLVANIA"
"321","PENNSYLVANIA, UNIVERSITY OF",156,86,0,48,242,194,2018,"PENNSYLVANIA"
"322","PEPPERDINE UNIVERSITY",95,44,0,21,139,118,2018,"CALIFORNIA"
"323","PITTSBURGH, UNIVERSITY OF",110,58,0,15,168,153,2018,"PENNSYLVANIA"
"324","PONTIFICAL CATHOLIC UNIVERSITY OF P.R.",51,19,0,69,70,1,2018,"PUERTO RICO"
"325","PUERTO RICO, UNIVERSITY OF",70,52,0,119,122,3,2018,"PUERTO RICO"
"326","QUINNIPIAC UNIVERSITY",61,37,0,6,98,92,2018,"CONNECTICUT"
"327","REGENT UNIVERSITY",28,10,0,6,38,32,2018,"VIRGINIA"
"328","RICHMOND, UNIVERSITY OF",78,61,0,11,139,128,2018,"VIRGINIA"
"329","ROGER WILLIAMS UNIVERSITY",52,41,0,8,93,85,2018,"RHODE ISLAND"
"330","RUTGERS UNIVERSITY",194,118,0,52,312,260,2018,"NEW JERSEY"
"331","SAINT LOUIS UNIVERSITY",59,45,0,10,104,94,2018,"MISSOURI"
"332","SAMFORD UNIVERSITY",39,19,0,7,58,51,2018,"ALABAMA"
"333","SAN DIEGO, UNIVERSITY OF",102,43,0,12,145,133,2018,"CALIFORNIA"
"334","SAN FRANCISCO, UNIVERSITY OF",62,50,0,24,112,88,2018,"CALIFORNIA"
"335","SANTA CLARA UNIVERSITY",92,76,10,37,178,141,2018,"CALIFORNIA"
"336","SEATTLE UNIVERSITY",93,73,0,37,166,129,2018,"WASHINGTON"
"337","SETON HALL UNIVERSITY",65,49,0,13,114,101,2018,"NEW JERSEY"
"338","SOUTH CAROLINA, UNIVERSITY OF",68,39,0,7,107,100,2018,"SOUTH CAROLINA"
"339","SOUTH DAKOTA, UNIVERSITY OF",23,10,0,3,33,30,2018,"SOUTH DAKOTA"
"340","SOUTH TEXAS COLLEGE OF LAW HOUSTON",66,41,0,16,107,91,2018,"TEXAS"
"341","SOUTHERN CALIFORNIA, UNIVERSITY OF",129,55,0,26,184,158,2018,"CALIFORNIA"
"342","SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE",22,21,0,5,43,38,2018,"ILLINOIS"
"343","SOUTHERN METHODIST UNIVERSITY",143,67,1,21,211,190,2018,"TEXAS"
"344","SOUTHERN UNIVERSITY",59,54,0,85,113,28,2018,"LOUISIANA"
"345","SOUTHWESTERN LAW SCHOOL",80,59,0,37,139,102,2018,"CALIFORNIA"
"346","ST. JOHN'S UNIVERSITY",95,58,0,21,153,132,2018,"NEW YORK"
"347","ST. MARY'S UNIVERSITY",76,41,0,28,117,89,2018,"TEXAS"
"348","ST. THOMAS UNIVERSITY (FLORIDA)",49,32,0,22,81,59,2018,"FLORIDA"
"349","ST. THOMAS, UNIVERSITY OF (MINNESOTA)",87,42,0,15,129,114,2018,"MINNESOTA"
"350","STANFORD UNIVERSITY",125,85,0,39,210,171,2018,"CALIFORNIA"
"351","STETSON UNIVERSITY",67,67,2,16,136,120,2018,"FLORIDA"
"352","SUFFOLK UNIVERSITY",95,72,0,20,167,147,2018,"MASSACHUSETTS"
"353","SYRACUSE UNIVERSITY",61,31,0,11,92,81,2018,"NEW YORK"
"354","TEMPLE UNIVERSITY",115,72,2,33,189,156,2018,"PENNSYLVANIA"
"355","TENNESSEE, UNIVERSITY OF",58,43,0,11,101,90,2018,"TENNESSEE"
"356","TEXAS A&M UNIVERSITY",61,42,0,17,103,86,2018,"TEXAS"
"357","TEXAS AT AUSTIN, UNIVERSITY OF",186,95,0,30,281,251,2018,"TEXAS"
"358","TEXAS SOUTHERN UNIVERSITY THURGOOD MARSHALL SCHOOL OF LAW",40,51,0,72,91,19,2018,NA
"359","TEXAS TECH UNIVERSITY",41,25,0,10,66,56,2018,"TEXAS"
"360","TOLEDO, UNIVERSITY OF",28,15,0,5,43,38,2018,"OHIO"
"361","TOURO UNIVERSITY",57,37,0,10,94,84,2018,"NEW YORK"
"362","TULANE UNIVERSITY",108,40,0,9,148,139,2018,"LOUISIANA"
"363","TULSA, UNIVERSITY OF",28,27,0,5,55,50,2018,"OKLAHOMA"
"364","UNIVERSITY OF BUFFALO-SUNY",75,55,0,11,130,119,2018,"NEW YORK"
"365","UNIVERSITY OF CALIFORNIA COLLEGE OF THE LAW, SAN FRANCISCO",147,106,0,43,253,210,2018,"CALIFORNIA"
"366","UNIVERSITY OF ILLINOIS CHICAGO SCHOOL OF LAW",119,76,0,38,195,157,2018,"ILLINOIS"
"367","UNIVERSITY OF MASSACHUSETTS DARTMOUTH",23,17,0,2,40,38,2018,"MASSACHUSETTS"
"368","UNIVERSITY OF NEVADA - LAS VEGAS",53,39,0,16,92,76,2018,"NEVADA"
"369","UTAH, UNIVERSITY OF",57,41,0,11,98,87,2018,"UTAH"
"370","VANDERBILT UNIVERSITY",81,49,0,20,130,110,2018,"TENNESSEE"
"371","VERMONT LAW SCHOOL",94,73,0,9,167,158,2018,"VERMONT"
"372","VILLANOVA UNIVERSITY",68,47,0,10,115,105,2018,"PENNSYLVANIA"
"373","VIRGINIA, UNIVERSITY OF",167,70,0,23,237,214,2018,"VIRGINIA"
"374","WAKE FOREST UNIVERSITY",89,47,0,13,136,123,2018,"NORTH CAROLINA"
"375","WASHBURN UNIVERSITY",36,34,0,7,70,63,2018,"KANSAS"
"376","WASHINGTON AND LEE UNIVERSITY",63,29,0,9,92,83,2018,"VIRGINIA"
"377","WASHINGTON UNIVERSITY",114,56,0,18,170,152,2018,"MISSOURI"
"378","WASHINGTON, UNIVERSITY OF",103,76,0,22,179,157,2018,"WASHINGTON"
"379","WAYNE STATE UNIVERSITY",40,33,0,10,73,63,2018,"MICHIGAN"
"380","WEST VIRGINIA UNIVERSITY",33,25,0,4,58,54,2018,"WEST VIRGINIA"
"381","COOLEY LAW SCHOOL",152,80,0,33,232,199,2018,NA
"382","WESTERN NEW ENGLAND UNIVERSITY",37,22,0,8,59,51,2018,"MASSACHUSETTS"
"383","WESTERN STATE COLLEGE OF LAW",36,27,0,16,63,47,2018,"CALIFORNIA"
"384","WIDENER UNIVERSITY-DELAWARE",37,37,0,6,74,68,2018,"DELAWARE"
"385","WIDENER-COMMONWEALTH",36,17,0,2,53,51,2018,"PENNSYLVANIA"
"386","WILLAMETTE UNIVERSITY",32,23,0,5,55,50,2018,"OREGON"
"387","WILLIAM AND MARY LAW SCHOOL",110,62,0,13,172,159,2018,"VIRGINIA"
"388","WISCONSIN, UNIVERSITY OF",61,55,0,17,116,99,2018,"WISCONSIN"
"389","WYOMING, UNIVERSITY OF",22,18,0,6,40,34,2018,"WYOMING"
"390","YALE UNIVERSITY",167,90,0,30,257,227,2018,"CONNECTICUT"
"391","AKRON, UNIVERSITY OF",37,28,0,6,65,59,2019,"OHIO"
"392","ALABAMA, UNIVERSITY OF",68,33,0,15,101,86,2019,"ALABAMA"
"393","ALBANY LAW SCHOOL",53,41,0,15,94,79,2019,"NEW YORK"
"394","AMERICAN UNIVERSITY",177,137,0,63,314,251,2019,"DISTRICT OF COLUMBIA"
"395","APPALACHIAN SCHOOL OF LAW",16,7,0,2,23,21,2019,"VIRGINIA"
"396","ARIZONA STATE UNIVERSITY",141,64,0,37,205,168,2019,"ARIZONA"
"397","ARIZONA, UNIVERSITY OF",77,62,0,25,139,114,2019,"ARIZONA"
"398","ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",41,33,0,8,74,66,2019,"ARKANSAS"
"399","ARKANSAS, LITTLE ROCK, UNIVERSITY OF",43,47,0,12,90,78,2019,"ARKANSAS"
"400","ATLANTA'S JOHN MARSHALL LAW SCHOOL",25,26,0,11,51,40,2019,"GEORGIA"
"401","AVE MARIA SCHOOL OF LAW",26,15,0,2,41,39,2019,"FLORIDA"
"402","BALTIMORE, UNIVERSITY OF",76,58,0,25,134,109,2019,"MARYLAND"
"403","BARRY UNIVERSITY",45,36,0,22,81,59,2019,"FLORIDA"
"404","BAYLOR UNIVERSITY",93,45,0,10,138,128,2019,"TEXAS"
"405","BELMONT UNIVERSITY",25,15,0,6,40,34,2019,"TENNESSEE"
"406","BOSTON COLLEGE",79,70,0,26,149,123,2019,"MASSACHUSETTS"
"407","BOSTON UNIVERSITY",130,81,0,13,211,198,2019,"MASSACHUSETTS"
"408","BRIGHAM YOUNG UNIVERSITY",66,28,0,6,94,88,2019,"UTAH"
"409","BROOKLYN LAW SCHOOL",127,84,0,30,211,181,2019,"NEW YORK"
"410","CALIFORNIA WESTERN SCHOOL OF LAW",59,55,0,22,114,92,2019,"CALIFORNIA"
"411","CALIFORNIA-BERKELEY, UNIVERSITY OF",170,120,1,53,291,238,2019,"CALIFORNIA"
"412","CALIFORNIA-DAVIS, UNIVERSITY OF",71,50,0,39,121,82,2019,"CALIFORNIA"
"413","CALIFORNIA-IRVINE, UNIVERSITY OF",60,70,0,27,130,103,2019,"CALIFORNIA"
"414","CALIFORNIA-LOS ANGELES, UNIVERSITY OF",120,93,0,49,213,164,2019,"CALIFORNIA"
"415","CAMPBELL UNIVERSITY",65,35,0,18,100,82,2019,"NORTH CAROLINA"
"416","CAPITAL UNIVERSITY",52,24,0,9,76,67,2019,"OHIO"
"417","CARDOZO SCHOOL OF LAW",197,138,0,25,335,310,2019,"NEW YORK"
"418","CASE WESTERN RESERVE UNIVERSITY",72,23,0,8,95,87,2019,"OHIO"
"419","CATHOLIC UNIVERSITY OF AMERICA",67,30,0,8,97,89,2019,"DISTRICT OF COLUMBIA"
"420","CHAPMAN UNIVERSITY",68,50,0,19,118,99,2019,"CALIFORNIA"
"421","CHARLESTON SCHOOL OF LAW",48,35,0,2,83,81,2019,"SOUTH CAROLINA"
"422","CHICAGO, UNIVERSITY OF",130,58,0,31,188,157,2019,"ILLINOIS"
"423","CHICAGO-KENT COLLEGE OF LAW-IIT",129,44,0,29,173,144,2019,"ILLINOIS"
"424","CINCINNATI, UNIVERSITY OF",51,33,8,8,92,84,2019,"OHIO"
"425","CITY UNIVERSITY OF NEW YORK",33,62,0,39,95,56,2019,"NEW YORK"
"426","CLEVELAND STATE UNIVERSITY",61,31,0,14,92,78,2019,"OHIO"
"427","COLORADO, UNIVERSITY OF",75,46,1,24,122,98,2019,"COLORADO"
"428","COLUMBIA UNIVERSITY",252,157,0,62,409,347,2019,"NEW YORK"
"429","CONNECTICUT, UNIVERSITY OF",103,56,0,21,159,138,2019,"CONNECTICUT"
"430","CORNELL UNIVERSITY",112,54,0,23,166,143,2019,"NEW YORK"
"431","CREIGHTON UNIVERSITY",36,20,0,5,56,51,2019,"NEBRASKA"
"432","DAYTON, UNIVERSITY OF",39,32,0,12,71,59,2019,"OHIO"
"433","DENVER, UNIVERSITY OF",86,64,0,24,150,126,2019,"COLORADO"
"434","DEPAUL UNIVERSITY",80,67,0,30,147,117,2019,"ILLINOIS"
"435","DETROIT MERCY, UNIVERSITY OF",44,42,0,12,86,74,2019,"MICHIGAN"
"436","DISTRICT OF COLUMBIA",23,37,0,27,60,33,2019,"DISTRICT OF COLUMBIA"
"437","DRAKE UNIVERSITY",48,32,0,7,80,73,2019,"IOWA"
"438","DREXEL UNIVERSITY",67,67,0,26,134,108,2019,"PENNSYLVANIA"
"439","DUKE UNIVERSITY",115,79,0,26,194,168,2019,"NORTH CAROLINA"
"440","DUQUESNE UNIVERSITY",54,40,0,10,94,84,2019,"PENNSYLVANIA"
"441","ELON UNIVERSITY",31,34,0,6,65,59,2019,"NORTH CAROLINA"
"442","EMORY UNIVERSITY",105,89,0,34,194,160,2019,"GEORGIA"
"443","FAULKNER UNIVERSITY",20,10,0,4,30,26,2019,"ALABAMA"
"444","FLORIDA A&M UNIVERSITY",30,35,0,48,65,17,2019,"FLORIDA"
"445","FLORIDA INTERNATIONAL UNIVERSITY",63,38,0,48,101,53,2019,"FLORIDA"
"446","FLORIDA STATE UNIVERSITY",67,41,0,12,108,96,2019,"FLORIDA"
"447","FLORIDA, UNIVERSITY OF",229,156,0,53,385,332,2019,"FLORIDA"
"448","FORDHAM UNIVERSITY",239,162,0,57,401,344,2019,"NEW YORK"
"449","GEORGE MASON UNIVERSITY",149,64,0,27,213,186,2019,"VIRGINIA"
"450","GEORGE WASHINGTON UNIVERSITY",332,142,0,64,474,410,2019,"DISTRICT OF COLUMBIA"
"451","GEORGETOWN UNIVERSITY",553,282,7,46,842,796,2019,"DISTRICT OF COLUMBIA"
"452","GEORGIA STATE UNIVERSITY",69,70,0,25,139,114,2019,"GEORGIA"
"453","GEORGIA, UNIVERSITY OF",68,46,0,16,114,98,2019,"GEORGIA"
"454","GOLDEN GATE UNIVERSITY",72,64,0,29,136,107,2019,"CALIFORNIA"
"455","GONZAGA UNIVERSITY",48,29,0,10,77,67,2019,"WASHINGTON"
"456","HARVARD UNIVERSITY",221,118,1,62,340,278,2019,"MASSACHUSETTS"
"457","HAWAII, UNIVERSITY OF",64,50,0,48,114,66,2019,"HAWAII"
"458","HOFSTRA UNIVERSITY",105,67,0,14,172,158,2019,"NEW YORK"
"459","HOUSTON, UNIVERSITY OF",144,75,0,38,219,181,2019,"TEXAS"
"460","HOWARD UNIVERSITY",45,44,0,73,89,16,2019,"DISTRICT OF COLUMBIA"
"461","IDAHO, UNIVERSITY OF",40,28,0,8,68,60,2019,"IDAHO"
"462","ILLINOIS, UNIVERSITY OF",75,53,0,19,128,109,2019,"ILLINOIS"
"463","INDIANA UNIVERSITY - BLOOMINGTON",70,44,0,16,114,98,2019,"INDIANA"
"464","INDIANA UNIVERSITY - INDIANAPOLIS",78,60,0,20,138,118,2019,"INDIANA"
"465","INTER AMERICAN UNIVERSITY OF PUERTO RICO",66,33,0,96,99,3,2019,"PUERTO RICO"
"466","IOWA, UNIVERSITY OF",49,31,0,7,80,73,2019,"IOWA"
"467","KANSAS, UNIVERSITY OF",43,29,0,7,72,65,2019,"KANSAS"
"468","KENTUCKY, UNIVERSITY OF",42,35,0,5,77,72,2019,"KENTUCKY"
"469","LEWIS AND CLARK COLLEGE",82,56,0,20,138,118,2019,"OREGON"
"470","LIBERTY UNIVERSITY",24,7,0,6,31,25,2019,"VIRGINIA"
"471","LINCOLN MEMORIAL",18,21,0,4,39,35,2019,"DISTRICT OF COLUMBIA"
"472","LOUISIANA STATE UNIVERSITY",59,27,0,8,86,78,2019,"LOUISIANA"
"473","LOUISVILLE, UNIVERSITY OF",43,23,0,9,66,57,2019,"KENTUCKY"
"474","LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES",100,80,5,43,185,142,2019,"CALIFORNIA"
"475","LOYOLA UNIVERSITY-CHICAGO",122,119,0,34,241,207,2019,"ILLINOIS"
"476","LOYOLA UNIVERSITY-NEW ORLEANS",49,35,0,21,84,63,2019,"LOUISIANA"
"477","MAINE, UNIVERSITY OF",36,28,0,5,64,59,2019,"MAINE"
"478","MARQUETTE UNIVERSITY",76,48,0,12,124,112,2019,"WISCONSIN"
"479","MARYLAND, UNIVERSITY OF",102,73,0,31,175,144,2019,"MARYLAND"
"480","MCGEORGE SCHOOL OF LAW",65,37,0,9,102,93,2019,"CALIFORNIA"
"481","MEMPHIS, UNIVERSITY OF",36,22,0,7,58,51,2019,"TENNESSEE"
"482","MERCER UNIVERSITY",47,20,0,6,67,61,2019,"GEORGIA"
"483","MIAMI, UNIVERSITY OF",164,101,0,52,265,213,2019,"FLORIDA"
"484","MICHIGAN STATE UNIVERSITY",73,51,0,11,124,113,2019,"MICHIGAN"
"485","MICHIGAN, UNIVERSITY OF",127,63,0,19,190,171,2019,"MICHIGAN"
"486","MINNESOTA, UNIVERSITY OF",137,77,0,15,214,199,2019,"MINNESOTA"
"487","MISSISSIPPI COLLEGE",33,22,0,10,55,45,2019,"MISSISSIPPI"
"488","MISSISSIPPI, UNIVERSITY OF",39,26,0,9,65,56,2019,"MISSISSIPPI"
"489","MISSOURI, UNIVERSITY OF",27,25,0,4,52,48,2019,"MISSOURI"
"490","MISSOURI-KANSAS CITY, UNIVERSITY OF",63,47,0,9,110,101,2019,"MISSOURI"
"491","MITCHELL | HAMLINE",139,140,0,34,279,245,2019,NA
"492","MONTANA, UNIVERSITY OF",14,18,0,3,32,29,2019,"MONTANA"
"493","NEBRASKA, UNIVERSITY OF",55,22,0,3,77,74,2019,"NEBRASKA"
"494","NEW ENGLAND LAW | BOSTON",59,41,0,6,100,94,2019,"MASSACHUSETTS"
"495","NEW HAMPSHIRE, UNIVERSITY OF",57,35,1,3,93,90,2019,"NEW HAMPSHIRE"
"496","NEW MEXICO, UNIVERSITY OF",51,51,0,33,102,69,2019,"NEW MEXICO"
"497","NEW YORK LAW SCHOOL",115,73,0,26,188,162,2019,"NEW YORK"
"498","NEW YORK UNIVERSITY",282,121,0,62,403,341,2019,"NEW YORK"
"499","NORTH CAROLINA CENTRAL UNIVERSITY",30,44,0,48,74,26,2019,"NORTH CAROLINA"
"500","NORTH CAROLINA, UNIVERSITY OF",138,108,0,34,246,212,2019,"NORTH CAROLINA"
"501","NORTH DAKOTA, UNIVERSITY OF",13,14,0,3,27,24,2019,"NORTH DAKOTA"
"502","NORTHEASTERN UNIVERSITY SCHOOL OF LAW",49,63,0,19,112,93,2019,NA
"503","NORTHERN ILLINOIS UNIVERSITY",33,21,0,12,54,42,2019,"ILLINOIS"
"504","NORTHERN KENTUCKY UNIVERSITY",41,17,0,10,58,48,2019,"KENTUCKY"
"505","NORTHWESTERN UNIVERSITY",157,83,0,31,240,209,2019,"ILLINOIS"
"506","NOTRE DAME, UNIVERSITY OF",108,53,0,13,161,148,2019,"INDIANA"
"507","NOVA SOUTHEASTERN UNIVERSITY",44,40,0,22,84,62,2019,"FLORIDA"
"508","OHIO NORTHERN UNIVERSITY",11,14,0,3,25,22,2019,"OHIO"
"509","OHIO STATE UNIVERSITY",80,43,0,14,123,109,2019,"OHIO"
"510","OKLAHOMA CITY UNIVERSITY",51,26,0,11,77,66,2019,"OKLAHOMA"
"511","OKLAHOMA, UNIVERSITY OF",43,29,0,9,72,63,2019,"OKLAHOMA"
"512","OREGON, UNIVERSITY OF",39,48,0,10,87,77,2019,"OREGON"
"513","PACE UNIVERSITY",69,54,0,16,123,107,2019,"NEW YORK"
"514","PENNSYLVANIA STATE - DICKINSON LAW",26,26,0,5,52,47,2019,"PENNSYLVANIA"
"515","PENNSYLVANIA STATE - PENN STATE LAW",41,25,0,11,66,55,2019,"PENNSYLVANIA"
"516","PENNSYLVANIA, UNIVERSITY OF",155,91,0,49,246,197,2019,"PENNSYLVANIA"
"517","PEPPERDINE UNIVERSITY",126,59,0,38,185,147,2019,"CALIFORNIA"
"518","PITTSBURGH, UNIVERSITY OF",103,56,0,16,159,143,2019,"PENNSYLVANIA"
"519","PONTIFICAL CATHOLIC UNIVERSITY OF P.R.",45,20,0,65,65,0,2019,"PUERTO RICO"
"520","PUERTO RICO, UNIVERSITY OF",68,52,0,118,120,2,2019,"PUERTO RICO"
"521","QUINNIPIAC UNIVERSITY",63,37,0,8,100,92,2019,"CONNECTICUT"
"522","REGENT UNIVERSITY",30,11,0,5,41,36,2019,"VIRGINIA"
"523","RICHMOND, UNIVERSITY OF",74,56,0,12,130,118,2019,"VIRGINIA"
"524","ROGER WILLIAMS UNIVERSITY",48,41,0,10,89,79,2019,"RHODE ISLAND"
"525","RUTGERS UNIVERSITY",120,95,0,36,215,179,2019,"NEW JERSEY"
"526","SAINT LOUIS UNIVERSITY",52,45,0,10,97,87,2019,"MISSOURI"
"527","SAMFORD UNIVERSITY",33,15,0,6,48,42,2019,"ALABAMA"
"528","SAN DIEGO, UNIVERSITY OF",108,56,0,14,164,150,2019,"CALIFORNIA"
"529","SAN FRANCISCO, UNIVERSITY OF",47,44,0,24,91,67,2019,"CALIFORNIA"
"530","SANTA CLARA UNIVERSITY",87,88,12,38,187,149,2019,"CALIFORNIA"
"531","SEATTLE UNIVERSITY",94,73,0,37,167,130,2019,"WASHINGTON"
"532","SETON HALL UNIVERSITY",74,60,0,25,134,109,2019,"NEW JERSEY"
"533","SOUTH CAROLINA, UNIVERSITY OF",67,38,0,10,105,95,2019,"SOUTH CAROLINA"
"534","SOUTH DAKOTA, UNIVERSITY OF",19,11,0,6,30,24,2019,"SOUTH DAKOTA"
"535","SOUTH TEXAS COLLEGE OF LAW HOUSTON",66,37,0,19,103,84,2019,"TEXAS"
"536","SOUTHERN CALIFORNIA, UNIVERSITY OF",123,63,0,27,186,159,2019,"CALIFORNIA"
"537","SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE",22,23,0,6,45,39,2019,"ILLINOIS"
"538","SOUTHERN METHODIST UNIVERSITY",103,50,0,22,153,131,2019,"TEXAS"
"539","SOUTHERN UNIVERSITY",66,69,0,84,135,51,2019,"LOUISIANA"
"540","SOUTHWESTERN LAW SCHOOL",74,66,0,40,140,100,2019,"CALIFORNIA"
"541","ST. JOHN'S UNIVERSITY",93,59,0,22,152,130,2019,"NEW YORK"
"542","ST. MARY'S UNIVERSITY",65,37,0,25,102,77,2019,"TEXAS"
"543","ST. THOMAS UNIVERSITY (FLORIDA)",56,29,0,25,85,60,2019,"FLORIDA"
"544","ST. THOMAS, UNIVERSITY OF (MINNESOTA)",82,48,0,18,130,112,2019,"MINNESOTA"
"545","STANFORD UNIVERSITY",124,80,0,39,204,165,2019,"CALIFORNIA"
"546","STETSON UNIVERSITY",77,58,0,15,135,120,2019,"FLORIDA"
"547","SUFFOLK UNIVERSITY",97,74,0,23,171,148,2019,"MASSACHUSETTS"
"548","SYRACUSE UNIVERSITY",60,34,0,10,94,84,2019,"NEW YORK"
